transactiondate,product,product_GBU,yearmth,customer_no,billto_customer_name,Extract_Number,customer_no_dupes,bill_to_custname_wo_dupes,st_customer_name,st_customer_no,invoice_no,invoice_type,revenue,cost,Quantity,sale_amount,Profit-Loss
1/4/2023,ROM,CI,202301,9980001133,Matt Wheeler,,9980001133,Matt Wheeler,Faith RegionalATTN-Sheryl Haddock,9980001133,90374222,Invoice,0,270.5,50,0,-270.5
1/4/2023,ROM,CI,202301,9980001133,Matt Wheeler,,9980001133,Matt Wheeler,Faith RegionalATTN-Sheryl Haddock,9980001133,90374222,Invoice,0,92.25,15,0,-92.25
1/4/2023,Traxi,CI,202301,1078694,Eastern Health,,1078694,Eastern Health,Health Sciences CentreAttn: Receiving,20162898,90374223,Invoice,1769.64,179.77,20,35392.8,35213.03
1/4/2023,Kiwi,CI,202301,1078787,THE OTTAWA HOSPITAL,,1078787,THE OTTAWA HOSPITAL,GENERAL CAMPUSATTN: Receiving,20163235,90374224,Invoice,3301.7,471.47,65,214610.5,214139.03
1/4/2023,Kiwi,CI,202301,1078834,Saskatchewan Health Authority,,1078834,Saskatchewan Health Authority,Royal University HospitalAttn: Main Stores,20170649,90374226,Invoice,692.66,108.8,15,10389.9,10281.1
1/4/2023,Koala,CI,202301,1080952,SCI Logistics Ltd.,,1080952,SCI Logistics Ltd.,SCI Logistics - 3SO BusinessAttn: Receiving,20166100,90374228,Invoice,715.01,91.4,20,14300.2,14208.8
1/4/2023,Optilume Strictures,Uro,202301,1019541,Allina Health System,,1019541,Allina Health System,Abbott Northwesterm HospitalAttn: Receiving Dock PO1539978,20084640,90374232,Invoice,2095,0,1,2095,2095
1/4/2023,Portascan 3D,Uro,202301,1019576,Adventist Health,,1019576,Adventist Health,Adventist HealthAttn: Receiving PO# 500067360,20079680,90374233,Invoice,7760,0,1,7760,7760
1/4/2023,Portascan 3D,Uro,202301,1019576,Adventist Health,,1019576,Adventist Health,Adventist HealthAttn: Receiving PO# 500067360,20079680,90374233,Invoice,0,0.81,0,0,-0.81
1/4/2023,Portascan 3D,Uro,202301,1019576,Adventist Health,,1019576,Adventist Health,Adventist HealthAttn: Receiving PO# 500067360,20079680,90374233,Invoice,0,1500,0,0,-1500
1/4/2023,Portascan 3D,Uro,202301,1019576,Adventist Health,,1019576,Adventist Health,Adventist HealthAttn: Receiving PO# 500067360,20079680,90374233,Invoice,518,412,1,518,106
1/4/2023,UDS Service Contracts,Uro,202301,1019576,Adventist Health,,1019576,Adventist Health,Adventist HealthAttn: Receiving PO# 500067360,20079680,90374233,Invoice,1200,0,1,1200,1200
1/4/2023,InjeTAK,Uro,202301,1019852,Baptist Health,,1019852,Baptist Health,BH Medical Center Little RockAttn: Outpatient Surgery,20084763,90374234,Invoice,310,76,4,1240,1164
1/4/2023,InjeTAK,Uro,202301,1019852,Baptist Health,,1019852,Baptist Health,BH Medical Center Little RockAttn: Outpatient Surgery,20084763,90374234,Invoice,310,76,4,1240,1164
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1019875,Carilion Clinic,,1019875,Carilion Clinic,Carilion Clinic Materials ManagmentAttn: Receiving,20075461,90374235,Invoice,1638,83.76,2,3276,3192.24
1/4/2023,Solar GI HRM,GI,202301,1020062,Cincinnati Children's Hospital,,1020062,Cincinnati Children's Hospital,Cincinnati Childrens Medical CenterAttn: Receiving Dock#1,20080047,90374236,Invoice,139338,25353.98,2,278676,253322.02
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1020373,Emory Healthcare,,1020373,Emory Healthcare,The Emory ClinicAttn: Receiving,20068899,90374239,Invoice,4670,209.4,5,23350,23140.6
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1020665,County of Los Angeles,,1020665,County of Los Angeles,UCLA Medical Center - Olive ViewAttn: Supply Chain Operations/WH,20167850,90374242,Invoice,889,41.88,1,889,847.12
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1020820,Haywood Regional Medical Center,,1020820,Haywood Regional Medical Center,Haywood Regional Medical CtrAttn Receiving,20081229,90374243,Invoice,934,41.88,1,934,892.12
1/4/2023,Tubing,Uro,202301,1020914,LCMC: West Jefferson Medical Center,,1020914,LCMC: West Jefferson Medical Center,West Jefferson Medical CenterAttn: Receiving/ OPOR,20074894,90374244,Invoice,549,42,25,13725,13683
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1021135,Loma Linda Univ.Health Care,,1021135,Loma Linda Univ.Health Care,Loma Linda UniversityHealth CareAdult Urology (8200/FPS),20070996,90374245,Invoice,1778,83.76,2,3556,3472.24
1/4/2023,Incontinence UPC Lead Sets,Uro,202301,1021190,Mayo Clinic,,1021190,Mayo Clinic,Mayo Clinic HospitalAttn: Dock E 69271733,20170386,90374246,Invoice,3356,167.52,4,13424,13256.48
